ImageId,Label
1,2
2,0
3,1
4,4
5,1
6,7
7,0
8,3
9,0
10,3
11,3
12,1
13,7
14,0
15,4
16,0
17,3
18,1
19,9
20,0
21,7
22,1
23,1
24,1
25,7
26,1
27,4
28,0
29,1
30,1
31,3
32,0
33,4
34,1
35,6
36,1
37,7
38,7
39,1
40,0
41,7
42,7
43,4
44,4
45,3
46,0
47,1
48,1
49,1
50,1
51,1
52,6
53,1
54,3
55,7
56,2
57,1
58,6
59,1
60,0
61,7
62,1
63,7
64,0
65,0
66,0
67,1
68,1
69,0
70,1
71,0
72,7
73,1
74,1
75,1
76,0
77,3
78,1
79,3
80,3
81,3
82,1
83,1
84,0
85,9
86,1
87,4
88,1
89,4
90,0
91,1
92,0
93,1
94,1
95,1
96,6
97,3
98,1
99,7
100,1
101,0
102,3
103,1
104,0
105,7
106,1
107,0
108,0
109,0
110,4
111,0
112,0
113,1
114,1
115,1
116,6
117,1
118,1
119,3
120,1
121,3
122,7
123,2
124,1
125,1
126,3
127,3
128,1
129,1
130,1
131,3
132,0
133,1
134,0
135,0
136,0
137,3
138,1
139,1
140,0
141,0
142,3
143,7
144,0
145,1
146,1
147,4
148,7
149,1
150,1
151,4
152,1
153,3
154,1
155,0
156,1
157,7
158,0
159,7
160,1
161,3
162,0
163,1
164,0
165,1
166,1
167,1
168,4
169,3
170,0
171,6
172,7
173,7
174,0
175,1
176,1
177,7
178,4
179,1
180,1
181,4
182,1
183,3
184,4
185,4
186,9
187,1
188,1
189,1
190,0
191,0
192,1
193,4
194,4
195,0
196,0
197,9
198,7
199,0
200,7
201,1
202,1
203,0
204,1
205,4
206,0
207,9
208,4
209,6
210,4
211,0
212,0
213,3
214,1
215,9
216,3
217,1
218,1
219,3
220,7
221,0
222,1
223,1
224,0
225,1
226,1
227,1
228,4
229,1
230,0
231,0
232,1
233,7
234,1
235,1
236,1
237,4
238,1
239,1
240,6
241,4
242,1
243,1
244,3
245,7
246,0
247,1
248,3
249,1
250,6
251,4
252,4
253,1
254,7
255,1
256,4
257,1
258,1
259,4
260,3
261,0
262,3
263,3
264,1
265,1
266,0
267,0
268,1
269,3
270,1
271,1
272,0
273,1
274,3
275,1
276,4
277,1
278,0
279,1
280,6
281,0
282,0
283,1
284,0
285,3
286,3
287,7
288,1
289,4
290,7
291,1
292,7
293,7
294,4
295,7
296,0
297,1
298,0
299,3
300,3
301,6
302,7
303,1
304,1
305,1
306,1
307,7
308,1
309,7
310,0
311,1
312,6
313,1
314,0
315,0
316,3
317,7
318,7
319,1
320,1
321,6
322,1
323,1
324,3
325,1
326,4
327,1
328,1
329,0
330,1
331,1
332,3
333,1
334,3
335,0
336,1
337,0
338,1
339,1
340,0
341,0
342,4
343,1
344,1
345,1
346,0
347,3
348,6
349,3
350,3
351,4
352,7
353,7
354,1
355,0
356,1
357,3
358,4
359,6
360,1
361,1
362,1
363,3
364,1
365,1
366,4
367,3
368,1
369,1
370,2
371,1
372,4
373,0
374,7
375,0
376,6
377,4
378,3
379,3
380,1
381,1
382,1
383,0
384,4
385,6
386,1
387,1
388,1
389,1
390,7
391,1
392,7
393,0
394,4
395,4
396,1
397,1
398,1
399,7
400,7
401,3
402,1
403,6
404,1
405,1
406,1
407,4
408,3
409,3
410,3
411,0
412,0
413,4
414,1
415,6
416,1
417,1
418,1
419,3
420,3
421,0
422,1
423,0
424,0
425,3
426,1
427,1
428,7
429,7
430,1
431,4
432,1
433,0
434,1
435,0
436,1
437,3
438,4
439,3
440,0
441,1
442,4
443,7
444,9
445,1
446,0
447,1
448,1
449,3
450,1
451,1
452,1
453,6
454,7
455,0
456,4
457,1
458,0
459,1
460,1
461,1
462,7
463,3
464,0
465,1
466,1
467,7
468,7
469,4
470,1
471,1
472,4
473,3
474,7
475,1
476,0
477,1
478,3
479,1
480,0
481,4
482,6
483,1
484,1
485,7
486,4
487,7
488,1
489,3
490,1
491,0
492,7
493,3
494,4
495,1
496,0
497,3
498,1
499,3
500,0
501,0
502,0
503,7
504,0
505,1
506,1
507,1
508,3
509,0
510,0
511,7
512,1
513,3
514,3
515,1
516,3
517,1
518,1
519,0
520,3
521,0
522,0
523,0
524,7
525,1
526,1
527,0
528,1
529,1
530,7
531,0
532,0
533,1
534,1
535,1
536,0
537,3
538,3
539,7
540,1
541,0
542,1
543,1
544,1
545,0
546,3
547,0
548,7
549,3
550,1
551,1
552,3
553,0
554,0
555,0
556,0
557,7
558,1
559,1
560,2
561,6
562,3
563,1
564,1
565,3
566,0
567,1
568,1
569,1
570,0
571,7
572,3
573,3
574,3
575,0
576,0
577,1
578,2
579,4
580,0
581,0
582,1
583,0
584,1
585,9
586,1
587,1
588,0
589,1
590,3
591,1
592,1
593,1
594,0
595,3
596,3
597,0
598,0
599,0
600,3
601,1
602,1
603,7
604,1
605,1
606,1
607,1
608,7
609,0
610,1
611,7
612,4
613,3
614,3
615,6
616,0
617,0
618,0
619,0
620,0
621,1
622,3
623,1
624,4
625,0
626,1
627,1
628,0
629,0
630,1
631,6
632,1
633,1
634,7
635,1
636,4
637,7
638,7
639,1
640,3
641,0
642,4
643,9
644,6
645,7
646,7
647,1
648,6
649,1
650,1
651,7
652,1
653,0
654,0
655,1
656,1
657,4
658,1
659,1
660,7
661,1
662,3
663,4
664,0
665,0
666,1
667,1
668,1
669,3
670,0
671,3
672,1
673,4
674,3
675,3
676,7
677,7
678,1
679,1
680,0
681,0
682,7
683,1
684,1
685,1
686,3
687,0
688,4
689,7
690,7
691,1
692,0
693,0
694,1
695,1
696,4
697,3
698,9
699,1
700,6
701,4
702,0
703,4
704,0
705,3
706,0
707,0
708,4
709,1
710,0
711,0
712,7
713,1
714,1
715,3
716,4
717,6
718,3
719,1
720,3
721,4
722,3
723,1
724,0
725,1
726,0
727,3
728,1
729,3
730,0
731,7
732,1
733,3
734,3
735,1
736,1
737,1
738,0
739,1
740,1
741,1
742,2
743,1
744,1
745,3
746,7
747,6
748,7
749,1
750,0
751,1
752,1
753,0
754,1
755,1
756,1
757,0
758,1
759,1
760,4
761,1
762,0
763,4
764,0
765,4
766,0
767,0
768,3
769,1
770,1
771,6
772,0
773,0
774,1
775,4
776,3
777,4
778,6
779,3
780,1
781,1
782,0
783,4
784,1
785,3
786,1
787,3
788,1
789,3
790,3
791,1
792,0
793,1
794,0
795,4
796,3
797,1
798,1
799,9
800,1
801,1
802,1
803,3
804,3
805,1
806,1
807,7
808,6
809,7
810,1
811,0
812,9
813,3
814,1
815,4
816,4
817,0
818,0
819,7
820,4
821,3
822,0
823,3
824,0
825,1
826,1
827,0
828,0
829,1
830,3
831,1
832,1
833,0
834,4
835,3
836,7
837,3
838,1
839,3
840,1
841,1
842,4
843,0
844,1
845,4
846,1
847,0
848,1
849,1
850,0
851,1
852,3
853,7
854,7
855,1
856,1
857,1
858,1
859,0
860,1
861,0
862,0
863,1
864,1
865,1
866,3
867,0
868,1
869,9
870,3
871,0
872,1
873,4
874,6
875,3
876,3
877,1
878,1
879,0
880,1
881,4
882,4
883,1
884,1
885,1
886,1
887,1
888,7
889,4
890,4
891,1
892,7
893,0
894,0
895,4
896,6
897,0
898,6
899,1
900,1
901,0
902,3
903,0
904,7
905,0
906,1
907,1
908,3
909,1
910,7
911,4
912,0
913,4
914,4
915,1
916,0
917,9
918,0
919,1
920,0
921,1
922,1
923,3
924,1
925,4
926,7
927,7
928,0
929,6
930,3
931,3
932,6
933,1
934,4
935,1
936,3
937,1
938,4
939,3
940,1
941,6
942,0
943,4
944,1
945,0
946,7
947,1
948,4
949,7
950,3
951,6
952,0
953,1
954,6
955,3
956,1
957,1
958,1
959,0
960,0
961,7
962,1
963,9
964,0
965,0
966,3
967,1
968,1
969,1
970,3
971,3
972,1
973,4
974,1
975,7
976,0
977,3
978,0
979,7
980,4
981,0
982,1
983,7
984,9
985,1
986,1
987,0
988,0
989,1
990,6
991,1
992,7
993,0
994,1
995,1
996,3
997,1
998,3
999,1
1000,9
1001,0
1002,7
1003,0
1004,7
1005,1
1006,3
1007,4
1008,6
1009,1
1010,7
1011,0
1012,3
1013,0
1014,1
1015,3
1016,7
1017,2
1018,1
1019,7
1020,3
1021,1
1022,1
1023,7
1024,3
1025,1
1026,0
1027,1
1028,0
1029,7
1030,1
1031,1
1032,1
1033,1
1034,3
1035,1
1036,1
1037,0
1038,1
1039,0
1040,0
1041,1
1042,0
1043,1
1044,1
1045,6
1046,1
1047,3
1048,7
1049,0
1050,3
1051,1
1052,1
1053,1
1054,1
1055,1
1056,1
1057,1
1058,3
1059,0
1060,0
1061,0
1062,0
1063,1
1064,0
1065,7
1066,4
1067,7
1068,0
1069,1
1070,7
1071,0
1072,1
1073,7
1074,4
1075,1
1076,7
1077,1
1078,1
1079,6
1080,9
1081,3
1082,0
1083,1
1084,1
1085,7
1086,7
1087,4
1088,1
1089,3
1090,1
1091,3
1092,1
1093,0
1094,1
1095,1
1096,1
1097,7
1098,3
1099,3
1100,3
1101,4
1102,1
1103,9
1104,1
1105,1
1106,1
1107,0
1108,0
1109,4
1110,0
1111,7
1112,1
1113,4
1114,1
1115,0
1116,0
1117,3
1118,1
1119,1
1120,7
1121,1
1122,1
1123,4
1124,1
1125,6
1126,3
1127,4
1128,6
1129,1
1130,1
1131,0
1132,1
1133,1
1134,0
1135,3
1136,3
1137,1
1138,1
1139,1
1140,7
1141,0
1142,0
1143,1
1144,1
1145,1
1146,1
1147,4
1148,0
1149,6
1150,3
1151,1
1152,0
1153,9
1154,1
1155,1
1156,1
1157,1
1158,1
1159,1
1160,4
1161,7
1162,1
1163,0
1164,0
1165,1
1166,1
1167,1
1168,6
1169,4
1170,4
1171,1
1172,1
1173,1
1174,1
1175,1
1176,1
1177,1
1178,7
1179,1
1180,0
1181,3
1182,3
1183,0
1184,1
1185,0
1186,7
1187,0
1188,3
1189,0
1190,0
1191,7
1192,0
1193,3
1194,1
1195,1
1196,1
1197,3
1198,3
1199,0
1200,0
1201,0
1202,1
1203,3
1204,0
1205,1
1206,1
1207,1
1208,1
1209,4
1210,0
1211,1
1212,9
1213,1
1214,9
1215,1
1216,4
1217,1
1218,1
